Show,From,FromLan,FromLon,To,ToLan,ToLon,Points
Final,Albania,41.000028,19.9999619,Switzerland,46.7985624,8.2319736,12
Final,Australia,-24.7761086,134.755,Malta,35.8885993,14.4476911,12
Final,Austria,47.2,13.2,Iceland,64.9841821,-18.1059013,12
Final,Azerbaijan,40.3936294,47.7872508,Russia,64.6863136,97.7453061,12
Final,Belgium,50.6402809,4.6667145,Switzerland,46.7985624,8.2319736,12
Final,Bulgaria,42.6073975,25.4856617,Moldova,47.2879608,28.5670941,12
Final,Croatia,45.5643442,17.0118954,Italy,42.6384261,12.674297,12
Final,Cyprus,34.9823018,33.1451285,Greece,38.9953683,21.9877132,12
Final,Czech Republic,49.8167003,15.4749544,Portugal,40.0332629,-7.8896263,12
Final,Denmark,55.670249,10.3333283,Switzerland,46.7985624,8.2319736,12
Final,Estonia,58.7523778,25.3319078,Switzerland,46.7985624,8.2319736,12
Final,Finland,63.2467777,25.9209164,Switzerland,46.7985624,8.2319736,12
Final,France,46.603354,1.8883335,Greece,38.9953683,21.9877132,12
Final,Georgia,41.6809707,44.0287382,Italy,42.6384261,12.674297,12
Final,Germany,51.0834196,10.4234469,France,46.603354,1.8883335,12
Final,Greece,38.9953683,21.9877132,Cyprus,34.9823018,33.1451285,12
Final,Iceland,64.9841821,-18.1059013,Switzerland,46.7985624,8.2319736,12
Final,Ireland,52.865196,-7.9794599,France,46.603354,1.8883335,12
Final,Israel,31.5313113,34.8667654,Switzerland,46.7985624,8.2319736,12
Final,Italy,42.6384261,12.674297,Lithuania,55.3500003,23.7499997,12
Final,Latvia,56.8406494,24.7537645,Switzerland,46.7985624,8.2319736,12
Final,Lithuania,55.3500003,23.7499997,Ukraine,49.4871968,31.2718321,12
Final,Malta,35.8885993,14.4476911,Albania,41.000028,19.9999619,12
Final,Moldova,47.2879608,28.5670941,Bulgaria,42.6073975,25.4856617,12
Final,North Macedonia,41.6171214,21.7168387,Serbia,44.1534121,20.55144,12
Final,Norway,60.5000209,9.0999715,Malta,35.8885993,14.4476911,12
Final,Poland,52.215933,19.134422,San Marino,43.9458623,12.458306,12
Final,Portugal,40.0332629,-7.8896263,Bulgaria,42.6073975,25.4856617,12
Final,Romania,45.9852129,24.6859225,Malta,35.8885993,14.4476911,12
Final,Russia,64.6863136,97.7453061,Moldova,47.2879608,28.5670941,12
Final,San Marino,43.9458623,12.458306,France,46.603354,1.8883335,12
Final,Serbia,44.1534121,20.55144,France,46.603354,1.8883335,12
Final,Slovenia,45.8133113,14.4808369,Italy,42.6384261,12.674297,12
Final,Spain,39.3260685,-4.8379791,France,46.603354,1.8883335,12
Final,Sweden,59.6749712,14.5208584,Malta,35.8885993,14.4476911,12
Final,Switzerland,46.7985624,8.2319736,France,46.603354,1.8883335,12
Final,The Netherlands,52.5001698,5.7480821,France,46.603354,1.8883335,12
Final,Ukraine,49.4871968,31.2718321,Italy,42.6384261,12.674297,12
Final,United Kingdom,54.7023545,-3.2765753,France,46.603354,1.8883335,12
